Data,Quantidade,Total,Media
2022-09-27,60027343,"31218533,83","520,07"
2022-02-01,44200898,"27114481,29","613,44"
2021-05-16,9070679,"1935487,56","213,38"
2021-02-15,6911188,"3603607,83","521,42"
2021-06-24,19971160,"11788937,77","590,3"
2021-12-02,43089997,"22748341,48","527,93"
2021-10-27,32308662,"18425855,57","570,31"
2021-03-16,11382263,"8644742,71","759,49"
2022-12-09,82706584,"38973628,33","471,23"
2022-06-24,54869471,"27986787,17","510,06"
2021-04-20,18033503,"14131329,01","783,62"
2021-05-13,17205875,"11329560,73","658,47"
2022-07-11,64256048,43416281,"675,68"
2021-06-08,26824445,"16395215,15","611,2"
2022-06-12,33644724,"4827435,47","143,48"
2022-12-20,104082891,"60309342,58","579,44"
2022-01-13,36868468,"19490440,6","528,65"
2022-06-09,60490058,"29352970,98","485,25"
2022-11-28,64556371,"36464058,16","564,84"
2022-07-09,55101180,"10620747,53","192,75"
2021-06-17,20392133,"12534104,69","614,65"
2021-11-02,22959513,"5438702,97","236,88"
2022-11-15,48814813,"9802320,03","200,81"
2022-01-16,21217852,"3384811,39","159,53"
2021-08-28,25545867,"5658627,76","221,51"
2022-05-13,58326313,"30714486,86","526,6"
2022-05-30,51384670,"36481984,26","709,98"
2021-05-08,17343843,"4598344,46","265,13"
2022-10-27,64571944,"31779128,53","492,15"
2022-05-11,56351237,"29768971,72","528,28"
2020-12-21,5958775,"5922064,9","993,84"
2021-09-30,37554104,"26944627,33","717,49"
2021-03-30,12274293,"10425175,31","849,35"
2022-07-17,33868757,"4730325,43","139,67"
2021-10-06,44765258,"25643478,26","572,84"
2022-06-18,48844423,"8868645,85","181,57"
2020-12-01,3433475,"3749325,94","1091,99"
2022-08-29,53691061,35086388,"653,49"
2022-04-20,59724436,"36801207,2","616,18"
2021-06-21,22281320,"16747608,12","751,64"
2021-12-09,43910474,"24425800,89","556,26"
2022-03-06,28292133,"4975708,59","175,87"
2022-03-19,41684909,"7707100,74","184,89"
2021-10-05,38660923,"25157004,6","650,71"
2022-12-23,95436379,"44465310,26","465,92"
2022-07-01,70731934,"41886877,09","592,19"
2022-04-03,28029597,"4748561,87","169,41"
2023-02-18,74962584,"14010437,33","186,9"
2021-10-09,29958791,"6692422,59","223,39"
2021-09-14,29068328,18047897,"620,88"
2022-05-23,49965045,"30098739,51","602,4"
2023-01-05,80090956,"43746350,79","546,21"
2022-05-02,55824791,"39690575,91","710,98"
2021-07-12,26942414,"21604780,9","801,89"
2022-10-11,76396263,"39042802,21","511,06"
2022-09-04,39010488,"5857302,45","150,15"
2021-05-03,18598298,"16202375,74","871,18"
2022-09-07,54708931,"11791554,29","215,53"
2022-03-24,43192731,"21777529,12","504,19"
2022-03-17,44708969,"23143092,42","517,64"
2021-06-05,18988268,"4949673,82","260,67"
2021-12-19,24313369,"4218161,89","173,49"
2022-10-10,82033474,"52187036,63","636,17"
2022-11-16,72479209,"44131522,52","608,89"
2020-11-11,216871,"85757,62","395,43"
2021-10-17,17212937,"2844161,28","165,23"
2023-01-13,80522489,"37630592,78","467,33"
2022-08-14,35592763,"4887534,82","137,32"
2021-02-13,6300178,"1927211,05","305,9"
2020-12-11,4270741,"4170689,95","976,57"
2022-01-14,42683751,"23674198,44","554,64"
2021-04-16,16143306,"11364533,45","703,98"
